,kr_price,us_price,exchange_rate,import_vol,stock,import_vol_mom,import_vol_yoy,stock_mom,stock_yoy,stock_ma_3,margin_spread,us_price_lag_1,exchange_rate_lag_1,us_price_lag_2,exchange_rate_lag_2,us_price_lag_3,exchange_rate_lag_3,kr_price_lead_1,kr_price_lead_2,kr_price_lead_3,kr_price_lead_4,kr_price_lead_5,kr_price_lead_6,kr_price_max_6m,target_max_diff_6m
2023-12-01,4150.0,19.725187640449438,1305.45,8767.0,44085.0,0.002171925011431153,-0.17587892460988908,0.04665242165242156,-0.5553258018963083,43144.333333333336,-21600.246205224717,18.732314659685866,1307.7954545454545,18.33236923076923,1352.1315789473683,18.158162295081965,1334.3157894736842,4054.0,4107.0,4174.0,3982.0,4049.0,4020.0,4174.0,24.0
2024-01-01,4054.0,17.3418184079602,1328.1136363636363,9568.0,39179.0,0.09136534732519674,0.21823274764451228,-0.11128501757967557,-0.5835565476190476,41794.666666666664,-18977.905506953866,19.725187640449438,1305.45,18.732314659685866,1307.7954545454545,18.33236923076923,1352.1315789473683,4107.0,4174.0,3982.0,4049.0,4020.0,4192.0,4192.0,138.0
2024-02-01,4107.0,16.947018085106382,1333.8684210526317,7169.0,37625.0,-0.25073160535117056,-0.17264858626658974,-0.0396641057709487,-0.6040598987656141,40296.333333333336,-18498.092254731244,17.3418184079602,1328.1136363636363,19.725187640449438,1305.45,18.732314659685866,1307.7954545454545,4174.0,3982.0,4049.0,4020.0,4192.0,4270.0,4270.0,163.0
2024-03-01,4174.0,17.242520555555554,1333.725,10152.0,40247.0,0.4160970846701073,-0.05086013462976813,0.06968770764119592,-0.5829499295365995,39017.0,-18822.78072795833,16.947018085106382,1333.8684210526317,17.3418184079602,1328.1136363636363,19.725187640449438,1305.45,3982.0,4049.0,4020.0,4192.0,4270.0,4147.0,4270.0,96.0
2024-04-01,3982.0,16.845898984771573,1371.8809523809523,10024.0,41637.0,-0.012608353033884967,0.06683695189442318,0.034536735657316076,-0.5784534078483781,39836.333333333336,-19128.567942941743,17.242520555555554,1333.725,16.947018085106382,1333.8684210526317,17.3418184079602,1328.1136363636363,4049.0,4020.0,4192.0,4270.0,4147.0,4304.0,4304.0,322.0
2024-05-01,4049.0,17.245133678756478,1365.9,8999.0,43024.0,-0.10225458898643258,-0.05956735291043991,0.033311717943175445,-0.15935912465806956,41636.0,-19506.128091813476,16.845898984771573,1371.8809523809523,17.242520555555554,1333.725,16.947018085106382,1333.8684210526317,4020.0,4192.0,4270.0,4147.0,4304.0,4391.0,4391.0,342.0
2024-06-01,4020.0,18.058846408839777,1382.7894736842106,9093.0,43658.0,0.01044560506722969,0.13308411214953275,0.014735961323912194,-0.15475015004549764,42773.0,-20951.58272102355,17.245133678756478,1365.9,16.845898984771573,1371.8809523809523,17.242520555555554,1333.725,4192.0,4270.0,4147.0,4304.0,4391.0,4471.0,4471.0,451.0
2024-07-01,4192.0,17.081391707317074,1383.5869565217392,9107.0,42545.0,0.0015396458814471714,0.0278781038374718,-0.0254936094186633,-0.14273912430232327,43075.666666666664,-19441.590765482506,18.058846408839777,1382.7894736842106,17.245133678756478,1365.9,16.845898984771573,1371.8809523809523,4270.0,4147.0,4304.0,4391.0,4471.0,4371.0,4471.0,279.0
2024-08-01,4270.0,16.964927040816328,1352.095238095238,10542.0,41051.0,0.15757109915449652,0.21297894373489812,-0.03511575978375836,-0.12603521321666555,42418.0,-18668.197066520894,17.081391707317074,1383.5869565217392,18.058846408839777,1382.7894736842106,17.245133678756478,1365.9,4147.0,4304.0,4391.0,4471.0,4371.0,4535.0,4535.0,265.0
2024-09-01,4147.0,17.6532197740113,1333.7222222222222,7147.0,38178.0,-0.3220451527224436,-0.047828403943511844,-0.06998611483276895,-0.13359809372517872,40591.333333333336,-19397.49150637163,16.964927040816328,1352.095238095238,17.081391707317074,1383.5869565217392,18.058846408839777,1382.7894736842106,4304.0,4391.0,4471.0,4371.0,4535.0,4568.0,4568.0,421.0
