week_ending,market_year,commodity_code,commodity_name,country_code,country_name,weekly_exports,outstanding_sales,gross_new_sales,current_my_net_sales,current_my_total_commitment,unit
2020-07-30T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,5614,43964,3632,3231,176512,1
2020-08-06T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,414,12114,1945,1927,19325,1
2020-08-06T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,5461,39673,1729,1170,177682,1
2020-08-13T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,633,10999,342,-482,18843,1
2020-08-13T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,5427,42645,8796,8399,186081,1
2020-08-20T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,852,13462,3329,3315,22158,1
2020-08-20T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,6012,38120,3681,1487,187568,1
2020-08-27T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,1081,14201,1887,1820,23978,1
2020-08-27T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,5603,34510,2438,1993,189561,1
2020-09-03T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,1288,14118,1248,1205,25183,1
2020-09-03T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4921,35230,6056,5641,195202,1
2020-09-10T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,959,14980,1870,1821,27004,1
2020-09-10T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,3885,35757,4734,4412,199614,1
2020-09-17T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,1200,17176,3412,3396,30400,1
2020-09-17T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4752,35528,4921,4523,204137,1
2020-09-24T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,1684,19792,4321,4300,34700,1
2020-09-24T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4479,36705,6046,5656,209793,1
2020-10-01T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,1530,22339,4091,4077,38777,1
2020-10-01T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,3803,38725,6354,5823,215616,1
2020-10-08T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,1494,21230,409,385,39162,1
2020-10-08T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,3836,37110,2476,2221,217837,1
2020-10-15T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,2027,22870,3699,3667,42829,1
2020-10-15T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,4243,38223,5723,5356,223193,1
2020-10-22T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,1635,25515,4318,4280,47109,1
2020-10-22T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,3728,38698,5737,4203,227396,1
2020-10-29T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,2738,26334,3612,3557,50666,1
2020-10-29T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,5568,37684,5218,4554,231950,1
2020-11-05T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5700,중국,1894,27938,3521,3498,54164,1
2020-11-05T00:00:00,2020,1701,"Fresh, Chilled, or Frozen Muscle Cuts of Beef",5800,한국,2183,36802,1356,1301,233251,1
