auction_start_ymd,auction_end_ymd,grade_type,grade_cd,grade_nm,breed_cd,breed_nm,sex_cd,sex_nm,qgrade_yn,defect_include_yn,market_code,market_name,is_regional_total,is_national_total,price_won_per_kg,head_count
20190101,20190130,QW,A,A,,전체,,전체,Y,Y,0905,농협고령,False,False,18677,724
20190101,20190130,QW,A,A,,전체,,전체,Y,Y,1005,김해축공,False,False,17465,1325
20190101,20190130,QW,A,A,,전체,,전체,Y,Y,1101,제주축협,False,False,17159,2
20190101,20190130,QW,A,A,,전체,,전체,Y,Y,1201,신흥산업,False,False,16949,94
20190101,20190130,QW,A,A,,전체,,전체,Y,Y,1301,삼성식품,False,False,17382,75
20190101,20190130,QW,A,A,,전체,,전체,Y,Y,Center,Center,False,False,19053,3260
20190101,20190130,QW,A,A,,전체,,전체,Y,Y,City,수도권(권역),True,False,18506,3612
20190101,20190130,QW,A,A,,전체,,전체,Y,Y,East,영남권(권역),True,False,17892,3432
20190101,20190130,QW,A,A,,전체,,전체,Y,Y,Tot,전국(전체),False,True,18460,10622
20190101,20190130,QW,A,A,,전체,,전체,Y,Y,West,호남권(권역),True,False,17701,316
20190101,20190130,QW,B,B,,전체,,전체,Y,Y,0202,부경축공,False,False,15948,3661
20190101,20190130,QW,B,B,,전체,,전체,Y,Y,0302,협신식품,False,False,15147,3869
20190101,20190130,QW,B,B,,전체,,전체,Y,Y,0320,도드람,False,False,17020,3489
20190101,20190130,QW,B,B,,전체,,전체,Y,Y,0323,농협부천,False,False,17191,3880
20190101,20190130,QW,B,B,,전체,,전체,Y,Y,0513,농협음성,False,False,17937,7030
20190101,20190130,QW,B,B,,전체,,전체,Y,Y,0613,관성,False,False,16097,803
20190101,20190130,QW,B,B,,전체,,전체,Y,Y,0714,익산,False,False,17116,118
20190101,20190130,QW,B,B,,전체,,전체,Y,Y,0809,농협나주,False,False,16656,738
20190101,20190130,QW,B,B,,전체,,전체,Y,Y,0905,농협고령,False,False,17434,2614
20190101,20190130,QW,B,B,,전체,,전체,Y,Y,1005,김해축공,False,False,17146,3038
20190101,20190130,QW,B,B,,전체,,전체,Y,Y,1101,제주축협,False,False,15253,15
20190101,20190130,QW,B,B,,전체,,전체,Y,Y,1201,신흥산업,False,False,14370,382
20190101,20190130,QW,B,B,,전체,,전체,Y,Y,1301,삼성식품,False,False,12079,621
20190101,20190130,QW,B,B,,전체,,전체,Y,Y,Center,Center,False,False,17770,7833
20190101,20190130,QW,B,B,,전체,,전체,Y,Y,City,수도권(권역),True,False,16200,11859
20190101,20190130,QW,B,B,,전체,,전체,Y,Y,East,영남권(권역),True,False,16677,9695
20190101,20190130,QW,B,B,,전체,,전체,Y,Y,Tot,전국(전체),False,True,16778,30258
20190101,20190130,QW,B,B,,전체,,전체,Y,Y,West,호남권(권역),True,False,16719,856
20190101,20190130,QW,C,C,,전체,,전체,Y,Y,0202,부경축공,False,False,15663,2453
20190101,20190130,QW,C,C,,전체,,전체,Y,Y,0302,협신식품,False,False,14087,2048
20190101,20190130,QW,C,C,,전체,,전체,Y,Y,0320,도드람,False,False,15949,2424
20190101,20190130,QW,C,C,,전체,,전체,Y,Y,0323,농협부천,False,False,15997,3161
20190101,20190130,QW,C,C,,전체,,전체,Y,Y,0513,농협음성,False,False,16983,5655
20190101,20190130,QW,C,C,,전체,,전체,Y,Y,0613,관성,False,False,13303,556
20190101,20190130,QW,C,C,,전체,,전체,Y,Y,0714,익산,False,False,16201,79
20190101,20190130,QW,C,C,,전체,,전체,Y,Y,0809,농협나주,False,False,16884,642
20190101,20190130,QW,C,C,,전체,,전체,Y,Y,0905,농협고령,False,False,16380,1982
20190101,20190130,QW,C,C,,전체,,전체,Y,Y,1005,김해축공,False,False,16426,2759
20190101,20190130,QW,C,C,,전체,,전체,Y,Y,1101,제주축협,False,False,10994,3
20190101,20190130,QW,C,C,,전체,,전체,Y,Y,1201,신흥산업,False,False,14126,303
20190101,20190130,QW,C,C,,전체,,전체,Y,Y,1301,삼성식품,False,False,11786,423
20190101,20190130,QW,C,C,,전체,,전체,Y,Y,Center,Center,False,False,16701,6211
20190101,20190130,QW,C,C,,전체,,전체,Y,Y,City,수도권(권역),True,False,15274,8056
20190101,20190130,QW,C,C,,전체,,전체,Y,Y,East,영남권(권역),True,False,16066,7497
20190101,20190130,QW,C,C,,전체,,전체,Y,Y,Tot,전국(전체),False,True,15987,22488
20190101,20190130,QW,C,C,,전체,,전체,Y,Y,West,호남권(권역),True,False,16815,721
20190131,20190301,QW,0,1++,,전체,,전체,Y,Y,0202,부경축공,False,False,20594,218
20190131,20190301,QW,0,1++,,전체,,전체,Y,Y,0302,협신식품,False,False,20899,285
20190131,20190301,QW,0,1++,,전체,,전체,Y,Y,0320,도드람,False,False,20881,194
20190131,20190301,QW,0,1++,,전체,,전체,Y,Y,0323,농협부천,False,False,20666,427
20190131,20190301,QW,0,1++,,전체,,전체,Y,Y,0513,농협음성,False,False,21166,1209
20190131,20190301,QW,0,1++,,전체,,전체,Y,Y,0613,관성,False,False,20453,28
20190131,20190301,QW,0,1++,,전체,,전체,Y,Y,0714,익산,False,False,17794,2
20190131,20190301,QW,0,1++,,전체,,전체,Y,Y,0809,농협나주,False,False,20308,54
20190131,20190301,QW,0,1++,,전체,,전체,Y,Y,0905,농협고령,False,False,20421,168
20190131,20190301,QW,0,1++,,전체,,전체,Y,Y,1005,김해축공,False,False,22047,216
20190131,20190301,QW,0,1++,,전체,,전체,Y,Y,1201,신흥산업,False,False,20241,8
20190131,20190301,QW,0,1++,,전체,,전체,Y,Y,1301,삼성식품,False,False,17847,4
20190131,20190301,QW,0,1++,,전체,,전체,Y,Y,Center,Center,False,False,21152,1237
20190131,20190301,QW,0,1++,,전체,,전체,Y,Y,City,수도권(권역),True,False,20773,910
20190131,20190301,QW,0,1++,,전체,,전체,Y,Y,East,영남권(권역),True,False,21024,610
20190131,20190301,QW,0,1++,,전체,,전체,Y,Y,Tot,전국(전체),False,True,20985,2813
20190131,20190301,QW,0,1++,,전체,,전체,Y,Y,West,호남권(권역),True,False,20230,56
20190131,20190301,QW,029016,D,,전체,,전체,Y,Y,0202,부경축공,False,False,4889,300
20190131,20190301,QW,029016,D,,전체,,전체,Y,Y,0302,협신식품,False,False,5848,185
20190131,20190301,QW,029016,D,,전체,,전체,Y,Y,0320,도드람,False,False,5781,175
20190131,20190301,QW,029016,D,,전체,,전체,Y,Y,0323,농협부천,False,False,5682,146
20190131,20190301,QW,029016,D,,전체,,전체,Y,Y,0513,농협음성,False,False,5438,58
20190131,20190301,QW,029016,D,,전체,,전체,Y,Y,0613,관성,False,False,5584,87
20190131,20190301,QW,029016,D,,전체,,전체,Y,Y,0714,익산,False,False,3998,11
20190131,20190301,QW,029016,D,,전체,,전체,Y,Y,0809,농협나주,False,False,3754,40
20190131,20190301,QW,029016,D,,전체,,전체,Y,Y,0905,농협고령,False,False,4556,29
20190131,20190301,QW,029016,D,,전체,,전체,Y,Y,1005,김해축공,False,False,5394,20
20190131,20190301,QW,029016,D,,전체,,전체,Y,Y,1101,제주축협,False,False,5263,2
20190131,20190301,QW,029016,D,,전체,,전체,Y,Y,1201,신흥산업,False,False,4051,2
20190131,20190301,QW,029016,D,,전체,,전체,Y,Y,1301,삼성식품,False,False,6076,126
20190131,20190301,QW,029016,D,,전체,,전체,Y,Y,Center,Center,False,False,5527,145
20190131,20190301,QW,029016,D,,전체,,전체,Y,Y,City,수도권(권역),True,False,5838,632
20190131,20190301,QW,029016,D,,전체,,전체,Y,Y,East,영남권(권역),True,False,4874,351
20190131,20190301,QW,029016,D,,전체,,전체,Y,Y,Tot,전국(전체),False,True,5473,1181
20190131,20190301,QW,029016,D,,전체,,전체,Y,Y,West,호남권(권역),True,False,3799,51
20190131,20190301,QW,029040,결함제외,,전체,,전체,Y,Y,0202,부경축공,False,False,15116,2465
20190131,20190301,QW,029040,결함제외,,전체,,전체,Y,Y,0302,협신식품,False,False,14247,2950
20190131,20190301,QW,029040,결함제외,,전체,,전체,Y,Y,0320,도드람,False,False,15563,2019
20190131,20190301,QW,029040,결함제외,,전체,,전체,Y,Y,0323,농협부천,False,False,16418,3285
20190131,20190301,QW,029040,결함제외,,전체,,전체,Y,Y,0513,농협음성,False,False,17749,7266
20190131,20190301,QW,029040,결함제외,,전체,,전체,Y,Y,0613,관성,False,False,13607,628
20190131,20190301,QW,029040,결함제외,,전체,,전체,Y,Y,0714,익산,False,False,13137,64
20190131,20190301,QW,029040,결함제외,,전체,,전체,Y,Y,0809,농협나주,False,False,15837,570
20190131,20190301,QW,029040,결함제외,,전체,,전체,Y,Y,0905,농협고령,False,False,17183,1533
20190131,20190301,QW,029040,결함제외,,전체,,전체,Y,Y,1005,김해축공,False,False,17153,2093
20190131,20190301,QW,029040,결함제외,,전체,,전체,Y,Y,1101,제주축협,False,False,9421,13
20190131,20190301,QW,029040,결함제외,,전체,,전체,Y,Y,1201,신흥산업,False,False,13828,171
20190131,20190301,QW,029040,결함제외,,전체,,전체,Y,Y,1301,삼성식품,False,False,9447,429
20190131,20190301,QW,029040,결함제외,,전체,,전체,Y,Y,Center,Center,False,False,17476,7894
20190131,20190301,QW,029040,결함제외,,전체,,전체,Y,Y,City,수도권(권역),True,False,15168,8683
20190131,20190301,QW,029040,결함제외,,전체,,전체,Y,Y,East,영남권(권역),True,False,16318,6262
20190131,20190301,QW,029040,결함제외,,전체,,전체,Y,Y,Tot,전국(전체),False,True,16280,23486
20190131,20190301,QW,029040,결함제외,,전체,,전체,Y,Y,West,호남권(권역),True,False,15607,634
20190131,20190301,QW,029045,등외제외,,전체,,전체,Y,Y,0202,부경축공,False,False,15744,2501
20190131,20190301,QW,029045,등외제외,,전체,,전체,Y,Y,0302,협신식품,False,False,14493,2881
20190131,20190301,QW,029045,등외제외,,전체,,전체,Y,Y,0320,도드람,False,False,16241,1899
20190131,20190301,QW,029045,등외제외,,전체,,전체,Y,Y,0323,농협부천,False,False,16693,3239
20190131,20190301,QW,029045,등외제외,,전체,,전체,Y,Y,0513,농협음성,False,False,17755,7484
20190131,20190301,QW,029045,등외제외,,전체,,전체,Y,Y,0613,관성,False,False,14303,598
20190131,20190301,QW,029045,등외제외,,전체,,전체,Y,Y,0714,익산,False,False,13627,74
20190131,20190301,QW,029045,등외제외,,전체,,전체,Y,Y,0809,농협나주,False,False,16294,567
20190131,20190301,QW,029045,등외제외,,전체,,전체,Y,Y,0905,농협고령,False,False,17128,1619
20190131,20190301,QW,029045,등외제외,,전체,,전체,Y,Y,1005,김해축공,False,False,17163,2305
20190131,20190301,QW,029045,등외제외,,전체,,전체,Y,Y,1101,제주축협,False,False,10162,11
20190131,20190301,QW,029045,등외제외,,전체,,전체,Y,Y,1201,신흥산업,False,False,13634,195
20190131,20190301,QW,029045,등외제외,,전체,,전체,Y,Y,1301,삼성식품,False,False,10567,345
