date,short_desc,value,unit,reference_period
2025-09-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2021000.0,HEAD,SEP
2025-09-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1632000.0,HEAD,SEP
2025-10-01,"CATTLE, ON FEED - INVENTORY",11418000.0,HEAD,FIRST OF OCT
2025-10-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",2040000.0,HEAD,OCT
2025-10-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1698000.0,HEAD,OCT
2025-11-01,"CATTLE, ON FEED - INVENTORY",11706000.0,HEAD,FIRST OF NOV
2025-11-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1594000.0,HEAD,NOV
2025-11-01,"CATTLE, ON FEED - SALES FOR SLAUGHTER, MEASURED IN HEAD",1520000.0,HEAD,NOV
2025-12-01,"CATTLE, ON FEED - INVENTORY",11727000.0,HEAD,FIRST OF DEC
2025-12-01,"CATTLE, ON FEED - PLACEMENTS, MEASURED IN HEAD",1555000.0,HEAD,DEC
